Estado,State,Medio,Media Outlet,Ciudad,City,Dirección,Zip Code,Latitud,Longitud,Formato,Format,Idioma,Language,Contenido,Content,Web,Año de fundación ,Dueño/Tipo de propiedad,Owner/Type of Ownership,Audiencia/circulación,Audience/circulation,Fuentes de ingresos,Sources of Revenue,Número de empleados/Number of employees,Frecuencia,Frequency,Facebook,Twitter,Instagram,YouTube,Otra red social
Georgia,Georgia,Camilo,Camilo,Atlanta,Atlanta,One CNN Center,30303,33.758103,-84.39462,Podcast,Podcast,Español,Spanish,,,https://itunes.apple.com/us/podcast/camilo/id1223106383?mt=2,,Turner,Turner,,,,,,,,,,,,
Georgia,Georgia,Clix,Clix,Atlanta,Atlanta,One CNN Center,30303,33.758103,-84.39462,Podcast,Podcast,Español,Spanish,,,https://itunes.apple.com/us/podcast/clix/id1219402559?mt=2,,Turner,Turner,,,,,,,,,,,,
Idaho,Idaho,La Perrona,La Perrona,Jerome,Jerome,47 N 100 W,83338,42.730465,-114.53934,Radio,Radio,Español,Spanish,"Noticias, Arte y Cultura y Comentario","News, Arts and Culture, Commentary",http://www.991laperrona.com/,1965,Medio local independiente. Lee Family Broadcasting Group,Local independent media. Lee Family Broadcasting Group,"10,000+","10,000+",Publicidad,Advertising,1-5,Diario,Daily,https://www.facebook.com/pg/991laperronafm/about/?ref=page_internal,https://twitter.com/991LaPerrona,https://www.instagram.com/991laperrona/,,
Idaho,Idaho,Radio Voz Latina,Radio Voz Latina,Burley,Burley,1250 Overland Ave.,83318,42.537162,-113.79371,Radio,Radio,Español,Spanish,,,http://kbwe.org/,,Medio local independiente,Local independent media,"Impreso: 10,000 - 19,999. Radio: 63,000+. Web: 300","Print: 10,000 - 19,999. Radio: 63,000+. Web: 300",,,1-5,Diario,Daily,https://www.facebook.com/kbwe91.9fm,,,,
Idaho,Idaho,Mirada Magazine,Mirada Magazine,Boise,Boise,5515 W Overland Rd.,83705,43.589585,-116.25042,Revista,Magazine,Español,Spanish,,,https://www.miradamagazine.com/,,"Mirada Magazine, Inc.","Mirada Magazine, Inc.",,,,,,,,https://www.facebook.com/miradamagazine/,,,,
Idaho,Idaho,Telemundo Boise,Telemundo Boise,Boise,Boise,315 Stampede Dr.,83687,43.587735,-116.54731,TV,TV,Español,Spanish,"Noticias, Entretenimiento, Deportes","News, Entertainment, Sports",http://telemundoboise.com/,2002,Afiliada o subsidiaria local de una corporación nacional,Local affiliate or subsidiary of a national corporation,,,Publicidad,Advertising,1-5,Diario,Daily,https://www.facebook.com/telemundoboise16/,,,,
Idaho,Idaho,Idaho Noticias,Idaho Noticias,Burley,Burley,440 West 90 North,83318,42.548101,-113.880368,Periódico,Newspaper,Español,Spanish,"Noticias, Arte y Cultura, Entretenimiento, Deportes, Comentaio","News, Arts and Culture, Entertainment, Sports, Commentary",http://www.idahonoticias.com/,2014,Medio local independiente,Local independent media,"Impreso: 10,000 - 19,999. Web: 9,000","Print: 10,000 - 19,999. Web: 9,000",Publicidad,Advertising,1-5,Monthly,Monthly,https://www.facebook.com/IdahoNoticias/,,,https://www.youtube.com/user/IdahoNoticias?fbclid=IwAR3qHxbNV-snEOyDEHLYl6_4Nf2b69bOfwRK9K3X3bO-pZHf3SuJHXrC5u0,
Illinois,Illinois,El Día ,El Día ,Berwyn,Berwyn,6331 West 26th St.,60402,41.843682,-87.782411,Periódico,Newspaper,Español/Inglés,Spanish/English,,,https://www.eldianewschicago.com/,,,,,,,,,,,https://www.facebook.com/eldianews,https://twitter.com/eldianews,,,
Illinois,Illinois,La Raza,La Raza,Chicago,Chicago,200 S Michigan Ave.. Floor 16,60604,41.879325,-87.624896,Periódico,Newspaper,Español,Spanish,,,http://www.laraza.com,1970,Impremedia,Impremedia,,,,,,Semanal,Weekly,https://www.facebook.com/LaRazaChicago,https://twitter.com/larazachicago,,,
Illinois,Illinois,Reflejos,Reflejos,Arlington Heights,Arlington Heights,155 East Algonquin Rd.,60005,42.040648,-87.980188,Periódico,Newspaper,Español/Inglés,Spanish/English,,,http://www.reflejos.com/en/archives.aspx,,"Reflejos Publications, LLC","Reflejos Publications, LLC",,,,,,,,https://www.facebook.com/ReflejosNewspaper,https://twitter.com/ReflejosNews,,,
Illinois,Illinois,Telemundo Chicago,Telemundo Chicago,Chicago,Chicago,454 North Columbus Dr,60611,41.890384,-87.621109,TV,TV,Español,Spanish,,,https://www.telemundochicago.com/,,NBC Universal,NBC Universal,,,,,,,,https://www.facebook.com/TelemundoChicago,https://twitter.com/TelemundoCHI,https://www.instagram.com/telemundochicago/,,
Illinois,Illinois,Univisión Chicago,Univisión Chicago,Chicago,Chicago,"541 North Fairbanks Ct., #1100",60611,41.892483,-87.619848,TV,TV,Español,Spanish,,,http://www.Univision.com/chicago/wgbo,,Univision ,Univision ,,,,,,,,https://www.facebook.com/Univisionchicago/,https://twitter.com/unichicago,https://www.instagram.com/unichicago/,https://www.youtube.com/channel/UC450q6_DKhU8wsmj9CR3T5g,
Illinois,Illinois,Hola America,Hola America,Moline,Moline,PO Box 1416,61266,41.509954,-90.519943,Periódico,Newspaper,Español/Inglés,Spanish/English,"Noticias, Arte y Cultura, Entretenimiento, Deportes, Comentario","News, Arts and Culture, Entertainment, Sports, Commentary",http://holaamericanews.com/category/latest-news/,2000,Medio local independiente,Local independent media,"Impreso: 10,000 - 19,999. Web: 1,200","Print: 10,000 - 19,999. Web: 1,200",Publicidad,Advertising,1-5,Bisemanal,Bi-weekly,https://www.facebook.com/HolaAmericaNews,https://twitter.com/HolaAmericaNews,https://www.instagram.com/HOLAAMERICA/,,
Illinois,Illinois,Lawndale News,Lawndale News,Cicero,Cicero,5533 W 25th St.,60804,41.845515,-87.763079,Periódico,Newspaper,Español/Inglés,Spanish/English,,,http://www.lawndalenews.com/,,,,,,,,,,,https://www.facebook.com/lawndalenews/,,,,
Illinois,Illinois,WXFT UniMás 60,WXFT UniMás 60,Chicago,Chicago,"541 North Fairbanks Ct., #1100",60611,41.892483,-87.619848,TV,TV,Español,Spanish,,,,,Univision ,Univision ,,,,,,,,,,,,
Illinois,Illinois,WESV Estrella TV 40,WESV Estrella TV 40,Chicago,Chicago,,,41.840119,-87.694842,TV,TV,Español,Spanish,,,,,Liberman,Liberman,,,,,,,,,,,,
Illinois,Illinois,Hoy,Hoy,Chicago,Chicago,436 North Michigan Ave.,60611,41.876169,-87.624602,Periódico,Newspaper,Español,Spanish,,,http://www.chicagotribune.com/hoy/,,,,,,,,,,,https://www.facebook.com/HoyMedia/,,,,
Illinois,Illinois,Borderless Magazine,Borderless Magazine,Chicago,Chicago,"3432 W. Diversey Ave. 2nd Floor, Suite 8",60647,41.93231927,-87.71358414,Revista,Magazine,Español/Inglés,Spanish/English,"Noticias, Arte y Cultura, Narrativa no ficción","News, Arts & Culture, Narrative NonFiction",http://www.borderlessmag.org/,2017,Sin ánimo de lucro,Nonprofit,"Impreso: 5,000 - 9,999. Boletín: 1,010. Web: 100","Print: 5,000 - 9,999. Newsletter: 1,010. Web: 100","Membresías, Donaciones/Subvenciones, Financiamiento de fundación, Otro","Memberships, Donations/grants, Foundation funding, Other",1-5,Bisemanal,Bi-weekly,https://www.facebook.com/BorderlessMagazine,https://twitter.com/borderless_mag,https://www.instagram.com/borderless_mag/,,
