domain,media_name,state_abbr,language,target_community
wschronicle.com,Winston-Salem Chronicle,NC,english,African American
peacemakeronline.com,Carolina Peacemaker,NC,english,African American
greensborolatino.com,Greensboro Latino,NC,spanish,Latino
countynews4you.com,County News,NC,english,African American
thecharlottepost.com,Charlotte Post,NC,english,African American
lanoticia.com,La Noticia Charlotte,NC,spanish,Latino
migenteweb.com,Qué Pasa Mi Gente,NC,spanish,Latino
mundolatinomedia.com,Mundo Latino Newspaper,NC,spanish,Latino
progresohispanonews.com,Progreso Hispano News,NC,spanish,Latino
latinatumusica.com,La Latina 102.3 FM,NC,english,Latino
estrellatv.com,Estrella TV 16.1,NC,spanish,Latino
qcitymetro.com,QCity Metro,NC,english,African American
holanews.com,Hola News (Triad),NC,spanish,Latino
wnewsj.com,Wilmington Journal,NC,english,African American
greaterdiversity.com,Greater Diversity News,NC,english,African American
enlacelatinonc.org,Enlace Latino NC,NC,spanish,Latino
laconexionusa.com,La Conexión,NC,spanish,Latino
caro.news,The Carolinian,NC,english,African American
vocerolatino.com,El Vocero Latino News,OH,bi-lingual,Latino
blackgirlincle.com,Black Girl in the CLE,OH,english,African American
columbusjewishnews.com,Columbus Jewish News,OH,english,Jewish
clevelandjewishnews.com,Cleveland Jewish News,OH,english,Jewish
thecincinnatiherald.com,Cincinnati Herald,OH,english,African American
americanisraelite.com,American Israelite,OH,english,Jewish
buckeyereview.org,The Buckeye Review,OH,english,African American
lavanguardia.com,La Vanguardia,OH,bi-lingual,Latino
nuestracomunidad.org,Nuestra Comunidad,OK,spanish,Latino
blackchronicle.com,Black Chronicle,OK,english,African American
ellatinoamerican.com,El Latino American,OK,bi-lingual,Latino
elnacionaldeoklahoma.com,El Nacional,OK,spanish,Latino
mvskokemedia.com,Mvskoke Media,OK,english,Native American
chickasawtimes.net,Chickasaw Times,OK,english,Native American
theokeagle.com,The Oklahoma Eagle,OK,english,African American
lasemanadelsur.com,La Semana del Sur,OK,bi-lingual,Latino
lasamericas1380am.com,Las Americas 1380 AM,OK,spanish,Latino
theblackwallsttimes.com,The Black Wall Street Times,OK,english,African American
latinmedianw.com,Noticias Latinas! Latin News,OR,spanish,Latino
kunptv.com,KUNP Univisión 16,OR,spanish,Latino
underscore.news,Underscore News,OR,english,Native American
theskanner.com,The Skanner,OR,english,African American
portlandobserver.com,Portland Observer,OR,english,African American
newpittsburghcourier.com,New Pittsburgh Courier,PA,english,African American
hellenicnews.com,Hellenic News of America,PA,english,Other
telemundo62.com,Telemundo 62 WWSI,PA,spanish,Latino
funtimesmagazine.com,FunTimes Magazine,PA,african,Other
2puntosplatform.com,2PuntosPlatform,PA,english,Latino
philasun.com,Philadelphia Sunday Sun,PA,english,African American
scoopnewsusa.com,Scoop USA,PA,english,African American
phillytrib.com,The Philadelphia Tribune,PA,english,African American
impactomedia.com,Impacto,PA,spanish,Latino
nsslife.org,Narodne Noviny,PA,english,Other
acontecerlatino.com,Acontecer Latino,RI,spanish,Latino
lprnews.org,Latino Public Radio,RI,spanish,Latino
noticiasrhodeisland.com,Noticias Rhode Island,RI,spanish,Latino
jewishrhody.com,Jewish Rhode Island,RI,english,Jewish
laislamagazine.com,La Isla Magazine,SC,spanish,Latino
informador.mx,El Informador,SC,spanish,Latino
universallatinnews.com,Universal Latin News,SC,spanish,Latino
nuestroestado.com,Nuestro Estado/Pasa La Voz,SC,spanish,Latino
communitytimessc.com,Community Times,SC,english,African American
carolinapanorama.com,Carolina Panorama,SC,english,African American
lakotatimes.com,Lakota Times,SD,english,Native American
nativesunnews.today,Native Sun News Today,SD,english,Native American
carthagecourier.com,Chattanooga Courier,TN,english,African American
pridepublishinggroup.com,Nashville Pride,TN,english,African American
tntribune.com,Tennessee Tribune,TN,english,African American
nashvillenoticias.com,Nashville Noticias,TN,spanish,Latino
wdkn.com,WDKN,TN,english,African American
wojg.com,WBOL/WOJG,TN,english,African American
laprensalatina.com,La Prensa Latina,TN,bi-lingual,Latino
memphisnoticias.com,Memphis Noticias,TN,spanish,Latino
tri-statedefender.com,Tri State Defender,TN,english,African American
lacampana.us,La Campana,TN,spanish,Latino
azteca21.com,Azteca 21,TX,spanish,Latino
kens5.com,KENS Estrella 5.2,TX,english,Latino
telemundosanantonio.com,Telemundo 60,TX,spanish,Latino
saobserver.com,The San Antonio Observer,TX,english,African American
northdallasgazette.com,North Dallas Gazette,TX,english,African American
novedadesnews.com,Novedades News,TX,spanish,Latino
texasmetronews.com,Texas Metro News,TX,english,African American
dallasexaminer.com,The Dallas Examiner,TX,english,African American
tjpnews.com,Texas Jewish Post,TX,english,Jewish
elliderusa.com,El Líder USA,TX,spanish,Latino
garlandjournal.com,Garland Journal News,TX,english,African American
myimessenger.com,IMessenger,TX,english,African American
dallasposttrib.com,Dallas Post Tribune,TX,english,African American
dallasweekly.com,Dallas Weekly,TX,english,African American
borderzine.com,Borderzine,TX,bi-lingual,Latino
ktsm.com,KTSM Estrella 9.2,TX,english,Latino
telemundo48elpaso.com,Telemundo El Paso 48,TX,spanish,Latino
easttexasreview.com,East Texas Review,TX,english,African American
elvenezolanohouston.com,EV Houston,TX,spanish,Latino
defendernetwork.com,Houston Defender,TX,english,African American
forwardtimes.com,Houston Forward Times,TX,english,African American
stylemagazine.com,Houston Style Magazine,TX,english,African American
prensadehouston.com,La Prensa de Houston,TX,spanish,Latino
indoamerican-news.com,Indo American News,TX,english,Asian American
queondamagazine.com,¡Qué onda! Magazine,TX,spanish,Latino
aframnews.com,African American News & Issues,TX,english,African American
telemundohouston.com,Telemundo Houston,TX,spanish,Latino
jhvonline.com,Jewish Herald-Voice,TX,english,Jewish
entravision.com,KNVO Univisión 48,TX,spanish,Latino
latinolubbock.net,Latino Lubbock Magazine,TX,english,Latino
telemundolubbock.com,Telemundo KXTQ,TX,spanish,Latino
telemundocc.com,Telemundo Corpus Christi,TX,spanish,Latino
eltejanomagazine.com,El Tejano Magazine,TX,bi-lingual,Latino
telemundodallas.com,Telemundo 39,TX,spanish,Latino
telemundoaustin.com,Telemundo Austin,TX,spanish,Latino
theaustinvillager.com,The Villager,TX,english,African American
soulciti.com,soulciti ,TX,english,African American
elmundonewspaper.com,El Mundo Newspaper,TX,spanish,Latino
kazifm.org,KAZI,TX,english,African American
laredodaily.news,Laredo Daily News,TX,spanish,Latino
lmtonline.com,Tiempo de Laredo,TX,english,Latino
telemundoutah.com,Telemundo Utah,UT,spanish,Latino
legacynewspaper.com,The Legacy Newspaper,VA,english,African American
vinegarhillmagazine.com,Vinegar Hill Magazine,VA,english,African American
thenewjournalandguide.com,Journal And Guide,VA,english,African American
richmondfreepress.com,Richmond Free Press,VA,english,African American
theroanoketribune.org,The Roanoke Tribune,VA,english,African American
tudecidesmedia.com,Tú Decides,WA,bi-lingual,Latino
elsietedias.com,El Siete Días,WA,spanish,Latino
nwasianweekly.com,Northwest Asian Weekly,WA,english,Asian American
nvnorthwest.com,Northwest Vietnamese News,WA,vietnamese,Asian American
seattlechinesepost.com,Seattle Chinese Post,WA,mandarin,Asian American
norwegianamerican.com,Norwegian American Weekly,WA,english,Other
napost.com,The North American Post (Hokubei Hochi),WA,english,Other
thefactsnewspaper.com,Facts News,WA,english,African American
seattlemedium.com,Seattle Medium,WA,english,African American
chineseradioseattle.com,Chinese Radio Seattle,WA,chinese,Asian American
larazanw.com,La Raza del Noreste,WA,spanish,Latino
elsoldeyakima.com,El Sol de Yakima,WA,spanish,Latino
wisconsinlcnews.com,La Comunidad News,WI,spanish,Latino
wnov860.com,WNOV,WI,english,African American
telemundowi.com,Telemundo Wisconsin,WI,english,Latino
milwaukeecourieronline.com,The Milwaukee Courier,WI,english,African American
communityjournal.net,Milwaukee Community Journal,WI,english,African American
milwaukeetimesnews.com,Milwaukee Times Weekly,WI,english,African American
conquistadornews.com,El Conquistador Latino Newspaper,WI,bi-lingual,Latino
deltadiscovery.com,Bethel Delta Discovery,AK,english,Native American
radiobilingue.org,Radio Bilingüe,CA,spanish,Latino
boldlatina.com,Bold Latina,CA,english,Latino
vidanewspaper.com,Vida,CA,bi-lingual,Latino
tribunact.com,Tribuna,CT,bi-lingual,Latino
heritagefl.com,Heritage Florida Jewish News,FL,english,Jewish
latinonewsnetwork.com,Latino News Network,IL,english,Latino
jewishjournal.org,The Jewish Journal,MA,english,Jewish
raivaaja.org,Raivaaja,MA,english,Other
insightnews.com,Insight News,MN,english,African American
polamjournal.com,Polish American Journal,NY,english,Other
radioambulante.org,Radio Ambulante,NY,bi-lingual,Latino
